id,name,grammy number album,grammy nomination number album,role,sex,year of birth
dr,DavideRossi,0,1,1,2,1970
jm,JohnMetcalfe,0,1,1,2,
mt,MartinTerefe,,,,,1969
mse,MikkelStorleerEriksen,0,4,1,2,1972
teh,TorErikHermansen,0,4,1,2,1972
be,BrianEno,4,10,1,2,1948
md,MarkusDravs,3,4,1,2,
cm,ChrisMartin,3,11,1,2,1977
gb,GuyBerryman,3,11,1,2,1978
job,JonnyBuckland,3,11,1,2,1977
wc,WillChampion,3,11,1,2,1978
tib,TimBergling,0,0,1,2,1989
rmc,RobinMChristopher,,,,,
kvt,KennethVaughanThomas,,,,,
kuh,KukHarrell,2,6,1,2,1964
ds,DantonSupple,,,,,1965
kn,KenNelson,2,2,1,2,1959
cha,ChrisAllison,,,,,1961
kl,KristianLundin,,1,1,2,1973
bab,BackstreetBoys,,2,2,2,1980
ry,RamiYacoub,,2,1,2,1975
rjml,"RobertJohn""Mutt""Lange",2,6,1,2,1948
li,Lizzo,1,4,2,1,1988
pho,Phoelix,,1,1,2,1992
rre,RickyReed,2,4,1,2,1982
bs,BlackSlatkin,,2,1,,1997
tr,TerraceMartin,,7,1,2,1978
il,ILYA(IlyaSalmanzadeh),,3,1,2,1986
po,"Andrew""Pop""Wansel",,2,1,2,1988
om,OmerFedi,,2,1,2,2000
ik,IanKirkpatrick,,5,1,2,1982
da,Daoud,,1,1,2,1978
mr,MarkRonson,1,4,1,2,1975
nm,NateMercereau,1,3,1,2,
tms,TheMonstersAndStrangerz,,2,1,2,
kh,KidHarpoon,1,1,1,2,1982
ck,ChrisKeys,,,1,2,1986
qc,QuelleChris,,1,1,2,1984
xa,XAmbassadors,,,1,2,1988
ofg,OakforGO!/TheOrphanage,,,1,2,1991
df,DanFaber,,,1,2,1987
sb,SweaterBeats,,,1,2,1987
tow,TobiasWincorn,,1,1,2,1980
ms,MikeSabath,,,1,2,1998
te,Tele,,,1,,
key,88-Keys,,1,1,2,1976
oj,Ojivolta,,1,1,2,
dem,DemJointz,,1,1,2,1976
sso,SeanSolymar,,,1,2,
jw,JasonWhite,,1,1,2,1969
ng,NikkiGrier,,1,1,1,
ev,E.Vax,,,1,2,1977
aas,"Aaron""Arrow""Sunday",,1,1,2,1989
al,Allday,,3,1,2,1991
ro,30Roc,,1,1,2,1993
ay,AyoAA,2,4,1,2,1998
dael,David&Eli,,1,1,2,
sl,Sloane,,,1,2,
bdb,BoogzDaBest,1,2,1,2,
djk,DJKhalil,1,4,1,2,1974
roj,RONNYJ,,1,1,2,1992
na,Nascent,,1,1,2,
zt,ZenTachi,,1,1,2,2006
ttt,TheTwiliteTone,,1,1,2,1971
au,AUDI,,1,1,2,1971
drt,DrtWrk,,1,1,2,
wh,Wheezy,,1,1,2,1992
bo,Boi-1da,,3,1,2,1986
lb,LouisBell,,4,1,2,1982
fy,Fyaman,,,1,2,
din,DigitalNas,,,1,2,1998
rb,RoarkBailey,,1,1,2,
fnz,FNZ,,,1,2,
amw,AntManWonder,,,1,,
wc,WarrynCampbell,,,1,,
ch,CoryHenry,1,5,1,2,1987
cu,Cubeatz,,1,1,2,1991
tew,TeddyWalton,,1,1,2,1992
wl,WallisLane,,1,1,2,
nab,Nabeyin,,1,1,2,1991
and,AndrewDawson,3,8,1,2,1980
daw,DariusWoodley,,1,1,2,1964
rn,RicoNichols,,1,1,2,
swb,SwizzBeatz,,3,1,2,1978
gs,Gesaffelstein,,2,1,2,1985
cb,ChristianBernard,,1,1,2,1922
mwa,MiaWallis,,1,1,1,
fal,Fallen,,,1,2,1991
suc,Sucuki,,1,1,2,
shu,Shuko,,1,1,2,1981
bv,BastianVölkel,,1,1,2,
cab,CashmereBrown,,1,1,2,1990
jaff,JackAntonoff,5,15,1,2,1984
aad,AaronDessner,2,5,1,2,1976
pb,PatrickBerger,0,0,1,2,1979
bd,BJBurton,0,2,1,2,1986
jma,JamesMCAlister,0,1,1,2,
bi,BonIver,1,6,2,2,1981
tn,TheNational,1,3,2,2,
jal,JoeAlwyn,1,1,1,2,1991
fd,FrankDukes,,,1,2,1983
jl,JoelLittle,0,0,1,2,1983
swve,SounWave,2,7,1,2,1986
dgd,DeanGillard,,,1,2,
mttw,MattWard,,,1,2,
mcw,MarkCrew,,,1,2,1985
kb,KeanuBeats,,,1,2,1997
js,JahaanSweet,1,3,1,2,1993
nz,NoelZancanella,1,1,1,2,1977
maro,Mattman&Robin,1,1,1,2,
ih,ImogenHeap,2,3,1,1,1977
byd,BryceDessner,1,3,1,2,1976
bey,Beyoncé,9,16,2,1,1981
kg,KevinGarrett,,1,1,2,1976
dip,Diplo,1,5,1,2,1978
ezk,EzraKoenig,,,1,2,1984
jaw,JackWhite,4,12,1,2,1975
ddx,DerekDixie,,2,1,2,
dgo,DianaGordon,,1,1,1,1985
mx,Melo-X,,2,1,2,1985
hb,HitBoy,1,6,1,2,1987
boo,BOOTS,,2,1,2,1988
ade,AlexDelicata,,1,1,2,
vb,VincentBerry2,,1,1,2,1985
jab,JamesBlake,,3,1,2,1988
jco,JonnyCoffer,,1,1,2,1989
jub,JustBlaze,,6,1,2,1978
khe,KingHernry,,1,1,2,1989
mwmi,MikeWiLLMadeIT,,3,1,2,1989
plu,Pluss,,1,1,2,
djs3,DanielDJS3Jones,,,1,2,1973
dp,DaftPunk,3,5,1,2,1975
mdmk,"Martin""Doc""McKinney",1,1,1,2,1971
jao,JakeOne,,1,1,2,1976
swi,Swish,,,1,2,
bor,BobbyRaps,,,1,2,1992
asm,AliShaheedMuhammad,,1,1,2,1970
pri,Prince85,,,1,2,
