from,to,album title,primary genre,secondary genre,year of publishing,first grammy category,second_grammy_category,grammy year,number of grammys per album,number of grammy nominations per album
ti,ph,Justified,3,,2002,4,,2004,1,1
ti,tn,Justified,3,,2002,4,,2004,1,1
ti,ss,Justified,3,,2002,4,,2004,1,1
ti,bmc,Justified,3,,2002,4,,2004,1,1
ch,ph,Justified,3,,2002,4,,2004,1,1
ch,tn,Justified,3,,2002,4,,2004,1,1
ch,ss,Justified,3,,2002,4,,2004,1,1
ch,bmc,Justified,3,,2002,4,,2004,1,1
ph,tn,Justified,3,,2002,4,,2004,1,1
ph,ss,Justified,3,,2002,4,,2004,1,1
ph,bmc,Justified,3,,2002,4,,2004,1,1
tn,ss,Justified,3,,2002,4,,2004,1,1
tn,bmc,Justified,3,,2002,4,,2004,1,1
ss,bmc,Justified,3,,2002,4,,2004,1,1
jt,ti,The 20/20 Experience- The Complete Experience,3,,2013,4,,2014,0,1
jt,jjh,The 20/20 Experience- The Complete Experience,3,,2013,4,,2014,0,1
ti,jjh,The 20/20 Experience- The Complete Experience,3,,2013,4,,2014,0,1
lg,ad,30,3,,2021,4,1,2023,0,1
gk,ad,30,3,,2021,4,1,2023,0,1
gk,lg,30,3,,2021,4,1,2023,0,1
sh,lg,30,3,,2021,4,1,2023,0,1
sh,ad,30,3,,2021,4,1,2023,0,1
sh,gk,30,3,,2021,4,1,2023,0,1
jp,lg,30,3,,2021,4,1,2023,0,1
jp,ad,30,3,,2021,4,1,2023,0,1
jp,gk,30,3,,2021,4,1,2023,0,1
jp,sh,30,3,,2021,4,1,2023,0,1
in,lg,30,3,,2021,4,1,2023,0,1
in,ad,30,3,,2021,4,1,2023,0,1
in,gk,30,3,,2021,4,1,2023,0,1
in,sh,30,3,,2021,4,1,2023,0,1
in,jp,30,3,,2021,4,1,2023,0,1
tjj,lg,30,3,,2021,4,1,2023,0,1
tjj,ad,30,3,,2021,4,1,2023,0,1
tjj,gk,30,3,,2021,4,1,2023,0,1
tjj,sh,30,3,,2021,4,1,2023,0,1
tjj,jp,30,3,,2021,4,1,2023,0,1
tjj,in,30,3,,2021,4,1,2023,0,1
se,lg,30,3,,2021,4,1,2023,0,1
se,ad,30,3,,2021,4,1,2023,0,1
se,gk,30,3,,2021,4,1,2023,0,1
se,sh,30,3,,2021,4,1,2023,0,1
se,jp,30,3,,2021,4,1,2023,0,1
se,in,30,3,,2021,4,1,2023,0,1
se,tjj,30,3,,2021,4,1,2023,0,1
es,aad,- (Subtract),3,,2023,4,,2024,0,1
fr,es,- (Subtract),3,,2023,4,,2024,0,1
fr,aad,- (Subtract),3,,2023,4,,2024,0,1
mm,es,- (Subtract),3,,2023,4,,2024,0,1
mm,aad,- (Subtract),3,,2023,4,,2024,0,1
mm,fr,- (Subtract),3,,2023,4,,2024,0,1
sh,es,- (Subtract),3,,2023,4,,2024,0,1
sh,aad,- (Subtract),3,,2023,4,,2024,0,1
sh,fr,- (Subtract),3,,2023,4,,2024,0,1
sh,mm,- (Subtract),3,,2023,4,,2024,0,1
es,ag,No.6 Collaborations Project,3,,2019,4,,2020,0,1
fr,es,No.6 Collaborations Project,3,,2019,4,,2020,0,1
fr,ag,No.6 Collaborations Project,3,,2019,4,,2020,0,1
mm,es,No.6 Collaborations Project,3,,2019,4,,2020,0,1
mm,ag,No.6 Collaborations Project,3,,2019,4,,2020,0,1
mm,fr,No.6 Collaborations Project,3,,2019,4,,2020,0,1
sh,es,No.6 Collaborations Project,3,,2019,4,,2020,0,1
sh,ag,No.6 Collaborations Project,3,,2019,4,,2020,0,1
sh,fr,No.6 Collaborations Project,3,,2019,4,,2020,0,1
sh,mm,No.6 Collaborations Project,3,,2019,4,,2020,0,1
sm,es,No.6 Collaborations Project,3,,2019,4,,2020,0,1
sm,ag,No.6 Collaborations Project,3,,2019,4,,2020,0,1
sm,fr,No.6 Collaborations Project,3,,2019,4,,2020,0,1
