from,to,album title,primary genre,secondary genre,year of publishing,first grammy category,second grammy category,grammy year,number of grammys per album,number of grammy nominations per album
tp,bm,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
tp,stm,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
tp,es,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
tp,tw,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
tp,jq,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
tp,la,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
tp,cim,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
kw,bm,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
kw,stm,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
kw,es,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
kw,tw,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
kw,jq,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
kw,la,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
kw,cim,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
kw,tp,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
mk,bm,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
mk,stm,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
mk,es,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
mk,tw,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
mk,jq,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
mk,la,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
mk,cim,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
mk,tp,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
mk,kw,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
tw,bm,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
tw,stm,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
tw,es,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
tw,jq,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
tw,la,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
tw,cim,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
tw,tp,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
tw,kw,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
tw,mk,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
bbd,bm,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
bbd,stm,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
bbd,es,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
bbd,tw,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
bbd,jq,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
bbd,la,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
bbd,cim,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
bbd,tp,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
bbd,kw,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
bbd,mk,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
bbd,tw,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
ma,bm,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
ma,stm,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
ma,es,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
ma,tw,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
ma,jq,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
ma,la,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
ma,cim,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
ma,tp,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
ma,kw,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
ma,mk,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
ma,tw,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
ma,bbd,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
dbs,bm,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
dbs,stm,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
dbs,es,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
dbs,tw,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
dbs,jq,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
dbs,la,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
dbs,cim,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
dbs,tp,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
dbs,kw,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
dbs,mk,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
dbs,tw,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
dbs,bbd,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
dbs,ma,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
ap,bm,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
ap,stm,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
ap,es,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
ap,tw,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
ap,jq,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
ap,la,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
ap,cim,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
ap,tp,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
ap,kw,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
ap,mk,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
ap,tw,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
ap,bbd,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
ap,ma,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
ap,dbs,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
mm,bm,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
mm,stm,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
mm,es,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
mm,tw,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
mm,jq,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
mm,la,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
mm,cim,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
mm,tp,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
mm,kw,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
mm,mk,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
mm,tw,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
es,tas,Red,6,7,2012,1,,2014,0,1
nc,es,Red,6,7,2012,1,,2014,0,1
nc,tas,Red,6,7,2012,1,,2014,0,1
dh,es,Red,6,7,2012,1,,2014,0,1
dh,tas,Red,6,7,2012,1,,2014,0,1
dh,nc,Red,6,7,2012,1,,2014,0,1
dw,es,Red,6,7,2012,1,,2014,0,1
dw,tas,Red,6,7,2012,1,,2014,0,1
dw,nc,Red,6,7,2012,1,,2014,0,1
dw,dh,Red,6,7,2012,1,,2014,0,1
sh,es,Red,6,7,2012,1,,2014,0,1
sh,tas,Red,6,7,2012,1,,2014,0,1
sh,nc,Red,6,7,2012,1,,2014,0,1
sh,dh,Red,6,7,2012,1,,2014,0,1
sh,dw,Red,6,7,2012,1,,2014,0,1
mm,es,Red,6,7,2012,1,,2014,0,1
mm,tas,Red,6,7,2012,1,,2014,0,1
mm,nc,Red,6,7,2012,1,,2014,0,1
mm,dh,Red,6,7,2012,1,,2014,0,1
mm,dw,Red,6,7,2012,1,,2014,0,1
mm,sh,Red,6,7,2012,1,,2014,0,1
jl,es,Red,6,7,2012,1,,2014,0,1
jl,tas,Red,6,7,2012,1,,2014,0,1
jl,nc,Red,6,7,2012,1,,2014,0,1
jl,dh,Red,6,7,2012,1,,2014,0,1
jl,dw,Red,6,7,2012,1,,2014,0,1
jl,sh,Red,6,7,2012,1,,2014,0,1
jl,mm,Red,6,7,2012,1,,2014,0,1
jeb,es,Red,6,7,2012,1,,2014,0,1
jeb,tas,Red,6,7,2012,1,,2014,0,1
jeb,nc,Red,6,7,2012,1,,2014,0,1
jeb,dh,Red,6,7,2012,1,,2014,0,1
jeb,dw,Red,6,7,2012,1,,2014,0,1
jeb,sh,Red,6,7,2012,1,,2014,0,1
jeb,mm,Red,6,7,2012,1,,2014,0,1
jeb,jl,Red,6,7,2012,1,,2014,0,1
bw,es,Red,6,7,2012,1,,2014,0,1
bw,tas,Red,6,7,2012,1,,2014,0,1
bw,nc,Red,6,7,2012,1,,2014,0,1
bw,dh,Red,6,7,2012,1,,2014,0,1
bw,dw,Red,6,7,2012,1,,2014,0,1
bw,sh,Red,6,7,2012,1,,2014,0,1
bw,mm,Red,6,7,2012,1,,2014,0,1
bw,jeb,Red,6,7,2012,1,,2014,0,1
bw,jl,Red,6,7,2012,1,,2014,0,1
bw,jeb,Red,6,7,2012,1,,2014,0,1
bbo,drl,PRISM,3,,2013,4,,2015,0,1
bbo,kp,PRISM,3,,2013,4,,2015,0,1
bbo,c,PRISM,3,,2013,4,,2015,0,1
bbo,mm,PRISM,3,,2013,4,,2015,0,1
bbo,ka,PRISM,3,,2013,4,,2015,0,1
bbo,cbk,PRISM,3,,2013,4,,2015,0,1
bbo,s,PRISM,3,,2013,4,,2015,0,1
s,drl,PRISM,3,,2013,4,,2015,0,1
s,kp,PRISM,3,,2013,4,,2015,0,1
s,c,PRISM,3,,2013,4,,2015,0,1
s,mm,PRISM,3,,2013,4,,2015,0,1
s,ka,PRISM,3,,2013,4,,2015,0,1
s,cbk,PRISM,3,,2013,4,,2015,0,1
gk,drl,PRISM,3,,2013,4,,2015,0,1
gk,kp,PRISM,3,,2013,4,,2015,0,1
gk,c,PRISM,3,,2013,4,,2015,0,1
gk,mm,PRISM,3,,2013,4,,2015,0,1
gk,ka,PRISM,3,,2013,4,,2015,0,1
gk,cbk,PRISM,3,,2013,4,,2015,0,1
gw,drl,PRISM,3,,2013,4,,2015,0,1
gw,kp,PRISM,3,,2013,4,,2015,0,1
gw,c,PRISM,3,,2013,4,,2015,0,1
gw,mm,PRISM,3,,2013,4,,2015,0,1
gw,ka,PRISM,3,,2013,4,,2015,0,1
gw,cbk,PRISM,3,,2013,4,,2015,0,1
drl,kp,PRISM,3,,2013,4,,2015,0,1
drl,c,PRISM,3,,2013,4,,2015,0,1
drl,mm,PRISM,3,,2013,4,,2015,0,1
drl,ka,PRISM,3,,2013,4,,2015,0,1
drl,cbk,PRISM,3,,2013,4,,2015,0,1
c,kp,PRISM,3,,2013,4,,2015,0,1
c,mm,PRISM,3,,2013,4,,2015,0,1
c,ka,PRISM,3,,2013,4,,2015,0,1
c,cbk,PRISM,3,,2013,4,,2015,0,1
mm,kp,PRISM,3,,2013,4,,2015,0,1
mm,ka,PRISM,3,,2013,4,,2015,0,1
mm,cbk,PRISM,3,,2013,4,,2015,0,1
kp,ka,PRISM,3,,2013,4,,2015,0,1
kp,cbk,PRISM,3,,2013,4,,2015,0,1
ka,cbk,PRISM,3,,2013,4,,2015,0,1
s,gk,PRISM,3,,2013,4,,2015,0,1
s,gw,PRISM,3,,2013,4,,2015,0,1
bbo,gk,PRISM,3,,2013,4,,2015,0,1
bbo,gw,PRISM,3,,2013,4,,2015,0,1
gk,gw,PRISM,3,,2013,4,,2015,0,1
drl,bbo,Teenage Dream,3,,2010,4,1,2011,0,1
drl,mm,Teenage Dream,3,,2010,4,1,2011,0,1
bbo,mm,Teenage Dream,3,,2010,4,1,2011,0,1
sv,s,Teenage Dream,3,,2010,4,1,2011,0,1
sv,bbo,Teenage Dream,3,,2010,4,1,2011,0,1
sv,mm,Teenage Dream,3,,2010,4,1,2011,0,1
sv,drl,Teenage Dream,3,,2010,4,1,2011,0,1
s,bbo,Teenage Dream,3,,2010,4,1,2011,0,1
s,mm,Teenage Dream,3,,2010,4,1,2011,0,1
s,drl,Teenage Dream,3,,2010,4,1,2011,0,1
cts,sv,Teenage Dream,3,,2010,4,1,2011,0,1
cts,bbo,Teenage Dream,3,,2010,4,1,2011,0,1
cts,mm,Teenage Dream,3,,2010,4,1,2011,0,1
cts,drl,Teenage Dream,3,,2010,4,1,2011,0,1
cts,s,Teenage Dream,3,,2010,4,1,2011,0,1
gw,sv,Teenage Dream,3,,2010,4,1,2011,0,1
gw,bbo,Teenage Dream,3,,2010,4,1,2011,0,1
gw,mm,Teenage Dream,3,,2010,4,1,2011,0,1
gw,drl,Teenage Dream,3,,2010,4,1,2011,0,1
gw,s,Teenage Dream,3,,2010,4,1,2011,0,1
gw,cts,Teenage Dream,3,,2010,4,1,2011,0,1
kh,sv,Teenage Dream,3,,2010,4,1,2011,0,1
kh,bbo,Teenage Dream,3,,2010,4,1,2011,0,1
kh,mm,Teenage Dream,3,,2010,4,1,2011,0,1
kh,drl,Teenage Dream,3,,2010,4,1,2011,0,1
kh,s,Teenage Dream,3,,2010,4,1,2011,0,1
kh,cts,Teenage Dream,3,,2010,4,1,2011,0,1
kh,gw,Teenage Dream,3,,2010,4,1,2011,0,1
ms,sv,Teenage Dream,3,,2010,4,1,2011,0,1
ms,bbo,Teenage Dream,3,,2010,4,1,2011,0,1
ms,mm,Teenage Dream,3,,2010,4,1,2011,0,1
ms,drl,Teenage Dream,3,,2010,4,1,2011,0,1
ms,s,Teenage Dream,3,,2010,4,1,2011,0,1
ms,cts,Teenage Dream,3,,2010,4,1,2011,0,1
ms,gw,Teenage Dream,3,,2010,4,1,2011,0,1
ms,kh,Teenage Dream,3,,2010,4,1,2011,0,1
oh,sv,Teenage Dream,3,,2010,4,1,2011,0,1
oh,bbo,Teenage Dream,3,,2010,4,1,2011,0,1
oh,mm,Teenage Dream,3,,2010,4,1,2011,0,1
oh,drl,Teenage Dream,3,,2010,4,1,2011,0,1
oh,s,Teenage Dream,3,,2010,4,1,2011,0,1
oh,cts,Teenage Dream,3,,2010,4,1,2011,0,1
oh,gw,Teenage Dream,3,,2010,4,1,2011,0,1
oh,kh,Teenage Dream,3,,2010,4,1,2011,0,1
oh,ms,Teenage Dream,3,,2010,4,1,2011,0,1
kp,sv,Teenage Dream,3,,2010,4,1,2011,0,1
kp,bbo,Teenage Dream,3,,2010,4,1,2011,0,1
kp,mm,Teenage Dream,3,,2010,4,1,2011,0,1
kp,drl,Teenage Dream,3,,2010,4,1,2011,0,1
kp,s,Teenage Dream,3,,2010,4,1,2011,0,1
kp,cts,Teenage Dream,3,,2010,4,1,2011,0,1
kp,gw,Teenage Dream,3,,2010,4,1,2011,0,1
kp,kh,Teenage Dream,3,,2010,4,1,2011,0,1
kp,ms,Teenage Dream,3,,2010,4,1,2011,0,1
kp,oh,Teenage Dream,3,,2010,4,1,2011,0,1
sdg,sv,Teenage Dream,3,,2010,4,1,2011,0,1
sdg,bbo,Teenage Dream,3,,,,,,,1
sdg,mm,Teenage Dream,3,,2010,4,1,2011,0,1
sdg,drl,Teenage Dream,3,,2010,4,1,2011,0,1
sdg,s,Teenage Dream,3,,2010,4,1,2011,0,1
sdg,cts,Teenage Dream,3,,2010,4,1,2011,0,1
sdg,gw,Teenage Dream,3,,2010,4,1,2011,0,1
sdg,kh,Teenage Dream,3,,2010,4,1,2011,0,1
sdg,ms,Teenage Dream,3,,2010,4,1,2011,0,1
sdg,oh,Teenage Dream,3,,2010,4,1,2011,0,1
sdg,kp,Teenage Dream,3,,2010,4,1,2011,0,1
agr,sdg,eternal sunshine,3,,2024,4,,2025,0,1
agr,sy,eternal sunshine,3,,2024,4,,2025,0,1
agr,nl,eternal sunshine,3,,2024,4,,2025,0,1
agr,aps,eternal sunshine,3,,2024,4,,2025,0,1
sdg,sy,eternal sunshine,3,,2024,4,,2025,0,1
sdg,nl,eternal sunshine,3,,2024,4,,2025,0,1
sdg,aps,eternal sunshine,3,,2024,4,,2025,0,1
sy,nl,eternal sunshine,3,,2024,4,,2025,0,1
sy,aps,eternal sunshine,3,,2024,4,,2025,0,1
nl,aps,eternal sunshine,3,,2024,4,,2025,0,1
il,mm,eternal sunshine,3,,2024,4,,2025,0,1
il,sdg,eternal sunshine,3,,2024,4,,2025,0,1
il,sy,eternal sunshine,3,,2024,4,,2025,0,1
il,nl,eternal sunshine,3,,2024,4,,2025,0,1
il,aps,eternal sunshine,3,,2024,4,,2025,0,1
il,agr,eternal sunshine,3,,2024,4,,2025,0,1
mm,sdg,eternal sunshine,3,,2024,4,,2025,0,1
mm,sy,eternal sunshine,3,,2024,4,,2025,0,1
mm,nl,eternal sunshine,3,,2024,4,,2025,0,1
mm,agr,eternal sunshine,3,,2024,4,,2025,0,1
mm,aps,eternal sunshine,3,,2024,4,,2025,0,1
wl,mm,eternal sunshine,3,,2024,4,,2025,0,1
wl,sdg,eternal sunshine,3,,2024,4,,2025,0,1
wl,sy,eternal sunshine,3,,2024,4,,2025,0,1
wl,nl,eternal sunshine,3,,2024,4,,2025,0,1
wl,aps,eternal sunshine,3,,2024,4,,2025,0,1
wl,il,eternal sunshine,3,,2024,4,,2025,0,1
wl,agr,eternal sunshine,3,,2024,4,,2025,0,1
dd,mm,eternal sunshine,3,,2024,4,,2025,0,1
dd,sdg,eternal sunshine,3,,2024,4,,2025,0,1
dd,sy,eternal sunshine,3,,2024,4,,2025,0,1
dd,nl,eternal sunshine,3,,2024,4,,2025,0,1
dd,aps,eternal sunshine,3,,2024,4,,2025,0,1
dd,il,eternal sunshine,3,,2024,4,,2025,0,1
dd,agr,eternal sunshine,3,,2024,4,,2025,0,1
dd,wl,eternal sunshine,3,,2024,4,,2025,0,1
og,mm,eternal sunshine,3,,2024,4,,2025,0,1
og,sdg,eternal sunshine,3,,2024,4,,2025,0,1
og,sy,eternal sunshine,3,,2024,4,,2025,0,1
og,nl,eternal sunshine,3,,2024,4,,2025,0,1
og,aps,eternal sunshine,3,,2024,4,,2025,0,1
og,il,eternal sunshine,3,,2024,4,,2025,0,1
og,agr,eternal sunshine,3,,2024,4,,2025,0,1
og,wl,eternal sunshine,3,,2024,4,,2025,0,1
og,dd,eternal sunshine,3,,2024,4,,2025,0,1
lk,mm,eternal sunshine,3,,2024,4,,2025,0,1
lk,sdg,eternal sunshine,3,,2024,4,,2025,0,1
lk,sy,eternal sunshine,3,,2024,4,,2025,0,1
lk,nl,eternal sunshine,3,,2024,4,,2025,0,1
lk,aps,eternal sunshine,3,,2024,4,,2025,0,1
lk,il,eternal sunshine,3,,2024,4,,2025,0,1
lk,agr,eternal sunshine,3,,2024,4,,2025,0,1
lk,wl,eternal sunshine,3,,2024,4,,2025,0,1
lk,dd,eternal sunshine,3,,2024,4,,2025,0,1
lk,og,eternal sunshine,3,,2024,4,,2025,0,1
agr,tb,Positions,3,,2020,4,,2022,0,1
agr,plj,Positions,3,,2020,4,,2022,0,1
tb,plj,Positions,3,,2020,4,,2022,0,1
xv,tb,Positions,3,,2020,4,,2022,0,1
xv,plj,Positions,3,,2020,4,,2022,0,1
xv,agr,Positions,3,,2020,4,,2022,0,1
mrf,tb,Positions,3,,2020,4,,2022,0,1
mrf,plj,Positions,3,,2020,4,,2022,0,1
mrf,agr,Positions,3,,2020,4,,2022,0,1
mrf,xv,Positions,3,,2020,4,,2022,0,1
mb,tb,Positions,3,,2020,4,,2022,0,1
mb,plj,Positions,3,,2020,4,,2022,0,1
mb,agr,Positions,3,,2020,4,,2022,0,1
mb,xv,Positions,3,,2020,4,,2022,0,1
mb,mrf,Positions,3,,2020,4,,2022,0,1
jle,tb,Positions,3,,2020,4,,2022,0,1
jle,plj,Positions,3,,2020,4,,2022,0,1
jle,agr,Positions,3,,2020,4,,2022,0,1
jle,xv,Positions,3,,2020,4,,2022,0,1
jle,mrf,Positions,3,,2020,4,,2022,0,1
jle,mb,Positions,3,,2020,4,,2022,0,1
st,tb,Positions,3,,2020,4,,2022,0,1
st,plj,Positions,3,,2020,4,,2022,0,1
st,agr,Positions,3,,2020,4,,2022,0,1
st,xv,Positions,3,,2020,4,,2022,0,1
st,mrf,Positions,3,,2020,4,,2022,0,1
st,mb,Positions,3,,2020,,,2022,0,1
