from,to,song title,album title,genre,year of publishing,featuring,grammy category,grammy year
tc,rr,Lullaby,Taking the long way,2,2006,,1,2007
tc,rr,Lubbock or Leave It,Taking the long way,2,2006,,1,2007
tc,rr,Silent House,Taking the long way,2,2006,,1,2007
tc,rr,Favorite Year,Taking the long way,2,2006,,1,2007
tc,rr,Voice Inside My Head,Taking the long way,2,2006,,1,2007
tc,rr,I Like It,Taking the long way,2,2006,,1,2007
tc,rr,So Hard,Taking the long way,2,2006,,1,2007
tc,rr,I Hope,Taking the long way,2,2006,,1,2007
tc,rr,Baby Hold On,Taking the long way,2,2006,,1,2007
rhcp,rr,Dani California,Stadium Arcadium,1,2006,,2,2007
rhcp,rr,Snow (Hey Oh),Stadium Arcadium,1,2006,,2,2007
rhcp,rr,Charlie,Stadium Arcadium,1,2006,,2,2007
rhcp,rr,Stadium Arcadium,Stadium Arcadium,1,2006,,2,2007
rhcp,rr,Hump de Bump,Stadium Arcadium,1,2006,,2,2007
rhcp,rr,She's Only 18,Stadium Arcadium,1,2006,,2,2007
rhcp,rr,Slow Cheetah,Stadium Arcadium,1,2006,,2,2007
rhcp,rr,Torture Me,Stadium Arcadium,1,2006,,2,2007
rhcp,rr,Strip My Mind,Stadium Arcadium,1,2006,,2,2007
rhcp,rr,Especially in Michigan,Stadium Arcadium,1,2006,,2,2007
rhcp,rr,Warlocks,Stadium Arcadium,1,2006,,2,2007
rhcp,rr,C'mon Girl,Stadium Arcadium,1,2006,,2,2007
rhcp,rr,Wet Sand,Stadium Arcadium,1,2006,,2,2007
rhcp,rr,Hey,Stadium Arcadium,1,2006,,2,2007
rhcp,rr,Desecration Smile,Stadium Arcadium,1,2006,,2,2007
rhcp,rr,Tell Me Baby,Stadium Arcadium,1,2006,,2,2007
rhcp,rr,Hard to Concentrate,Stadium Arcadium,1,2006,,2,2007
rhcp,rr,21st Century,Stadium Arcadium,1,2006,,2,2007
rhcp,rr,Readymade,Stadium Arcadium,1,2006,,2,2007
rhcp,rr,If,Stadium Arcadium,1,2006,,2,2007
rhcp,rr,Make you feel better,Stadium Arcadium,1,2006,,2,2007
rhcp,rr,Animal Bar,Stadium Arcadium,1,2006,,2,2007
rhcp,rr,So Much I,Stadium Arcadium,1,2006,,2,2007
rhcp,rr,Storm in a Teacup,Stadium Arcadium,1,2006,,2,2007
rhcp,rr,We Believe,Stadium Arcadium,1,2006,,2,2007
rhcp,rr,Turn It Again,Stadium Arcadium,1,2006,,2,2007
rhcp,rr,Death of a Martian,Stadium Arcadium,1,2006,,2,2007
jc,rr,Rowboat,Unchained,2,1996,,Best Country Album,1998
jc,rr,Sea Of Heartbreak,Unchained,2,1996,,Best Country Album,1998
jc,rr,Rusty Cage,Unchained,2,1996,,Best Country Album,1998
jc,rr,The One Rose,Unchained,2,1996,,Best Country Album,1998
jc,rr,Country Boy,Unchained,2,1996,,Best Country Album,1998
jc,rr,Memories Are Made Of This,Unchained,2,1996,,Best Country Album,1998
jc,rr,Sea Of Heartbreak,Unchained,2,1996,,Best Country Album,1998
jc,rr,Spiritual ,Unchained,2,1996,,Best Country Album,1998
jc,rr,The Kneeling Drunkard’s Plea ,Unchained,2,1996,,Best Country Album,1998
jc,rr,Southern Accents ,Unchained,2,1996,,Best Country Album,1998
jc,rr,Mean Eyed Cat ,Unchained,2,1996,,Best Country Album,1998
jc,rr,Meet Me In Heaven ,Unchained,2,1996,,Best Country Album,1998
jc,rr,I Never Picked Cotton ,Unchained,2,1996,,Best Country Album,1998
jc,rr,Unchained ,Unchained,2,1996,,Best Country Album,1998
jc,rr,I've Been Everywhere ,Unchained,2,1996,,Best Country Album,1998
gf,rr,Don't You Remember,21,"3,4",2011,,1,2012
pbj,rr,Don't You Remember,21,"3,4",2011,,1,2012
slk,rr,Don't You Remember,21,"3,4",2011,,1,2012
as,rr,Don't You Remember,21,"3,4",2011,,1,2012
gf,rr,He Won't Go,21,"3,4",2011,,1,2012
pbj,rr,He Won't Go,21,"3,4",2011,,1,2012
slk,rr,He Won't Go,21,"3,4",2011,,1,2012
as,rr,He Won't Go,21,"3,4",2011,,1,2012
gf,ad,One And Only,21,"3,4",2011,,1,2012
pbj,ad,One And Only,21,"3,4",2011,,1,2012
slk,ad,One And Only,21,"3,4",2011,,1,2012
as,ad,One And Only,21,"3,4",2011,,1,2012
gf,rr,One And Only,21,"3,4",2011,,1,2012
pbj,rr,One And Only,21,"3,4",2011,,1,2012
slk,rr,One And Only,21,"3,4",2011,,1,2012
